Genus,total_genus,Source,Gene1,Gene2,total_source,amr_only,both_genes,comparison
Acinetobacter,28242,Egg,blaKPC,bcrABC,2,0,0,blaKPC+bcrABC
Acinetobacter,28242,Egg,blaKPC,crcB,2,0,0,blaKPC+crcB
Acinetobacter,28242,Egg,blaKPC,lmrS,2,0,0,blaKPC+lmrS
Acinetobacter,28242,Egg,blaKPC,smr,2,0,0,blaKPC+smr
Acinetobacter,28242,Egg,blaKPC,emrE,2,0,0,blaKPC+emrE
Acinetobacter,28242,Egg,blaNDM,qac,2,0,0,blaNDM+qac
Acinetobacter,28242,Egg,blaNDM,bcrABC,2,0,0,blaNDM+bcrABC
Acinetobacter,28242,Egg,blaNDM,crcB,2,0,0,blaNDM+crcB
Acinetobacter,28242,Egg,blaNDM,lmrS,2,0,0,blaNDM+lmrS
Acinetobacter,28242,Egg,blaNDM,smr,2,0,0,blaNDM+smr
Acinetobacter,28242,Egg,blaNDM,emrE,2,0,0,blaNDM+emrE
Acinetobacter,28242,Egg,blaOXA,qac,2,2,0,blaOXA+qac
Acinetobacter,28242,Egg,blaOXA,bcrABC,2,2,0,blaOXA+bcrABC
Acinetobacter,28242,Egg,blaOXA,crcB,2,2,0,blaOXA+crcB
Acinetobacter,28242,Egg,blaOXA,lmrS,2,2,0,blaOXA+lmrS
Acinetobacter,28242,Egg,blaOXA,smr,2,2,0,blaOXA+smr
Acinetobacter,28242,Egg,blaOXA,emrE,2,2,0,blaOXA+emrE
Acinetobacter,28242,Egg,blaPER,qac,2,0,0,blaPER+qac
Acinetobacter,28242,Egg,blaPER,bcrABC,2,0,0,blaPER+bcrABC
Acinetobacter,28242,Egg,blaPER,crcB,2,0,0,blaPER+crcB
Acinetobacter,28242,Egg,blaPER,lmrS,2,0,0,blaPER+lmrS
Acinetobacter,28242,Egg,blaPER,smr,2,0,0,blaPER+smr
Acinetobacter,28242,Egg,blaPER,emrE,2,0,0,blaPER+emrE
Acinetobacter,28242,Egg,blaSHV,qac,2,0,0,blaSHV+qac
Acinetobacter,28242,Egg,blaSHV,bcrABC,2,0,0,blaSHV+bcrABC
Acinetobacter,28242,Egg,blaSHV,crcB,2,0,0,blaSHV+crcB
Acinetobacter,28242,Egg,blaSHV,lmrS,2,0,0,blaSHV+lmrS
Acinetobacter,28242,Egg,blaSHV,smr,2,0,0,blaSHV+smr
Acinetobacter,28242,Egg,blaSHV,emrE,2,0,0,blaSHV+emrE
Acinetobacter,28242,Egg,blaTEM,qac,2,0,0,blaTEM+qac
Acinetobacter,28242,Egg,blaTEM,bcrABC,2,0,0,blaTEM+bcrABC
Acinetobacter,28242,Egg,blaTEM,crcB,2,0,0,blaTEM+crcB
