Genus,Total_genus,Source,Gene,number,total
Acinetobacter,28242,Fish/Seafood,emrE,1,0
Acinetobacter,28242,Multi-product,qac,13,6
Acinetobacter,28242,Multi-product,qacEdelta,13,6
Acinetobacter,28242,Multi-product,qacC,13,0
Acinetobacter,28242,Multi-product,qacE,13,0
Acinetobacter,28242,Multi-product,qacA,13,0
Acinetobacter,28242,Multi-product,qacB,13,0
Acinetobacter,28242,Multi-product,qacF,13,0
Acinetobacter,28242,Multi-product,qacG,13,0
Acinetobacter,28242,Multi-product,qacH,13,0
Acinetobacter,28242,Multi-product,qacJ,13,0
Acinetobacter,28242,Multi-product,qacK,13,0
Acinetobacter,28242,Multi-product,qacL,13,0
Acinetobacter,28242,Multi-product,qacM,13,0
Acinetobacter,28242,Multi-product,sugE,13,0
Acinetobacter,28242,Multi-product,bcrABC,13,0
Acinetobacter,28242,Multi-product,crcB,13,0
Acinetobacter,28242,Multi-product,srp,13,0
Acinetobacter,28242,Multi-product,smd,13,0
Acinetobacter,28242,Multi-product,sde,13,0
Acinetobacter,28242,Multi-product,lmrS,13,0
Acinetobacter,28242,Multi-product,smr,13,0
Acinetobacter,28242,Multi-product,ssmE,13,0
Acinetobacter,28242,Multi-product,tbtR,13,0
Acinetobacter,28242,Multi-product,ttg,13,0
Acinetobacter,28242,Multi-product,ttgR,13,0
Acinetobacter,28242,Multi-product,ttgT,13,0
Acinetobacter,28242,Multi-product,mtrF,13,0
Acinetobacter,28242,Multi-product,emrE,13,0
Acinetobacter,28242,Meat/Poultry,qac,3,0
Acinetobacter,28242,Meat/Poultry,qacEdelta,3,0
Acinetobacter,28242,Meat/Poultry,qacC,3,0
Acinetobacter,28242,Meat/Poultry,qacE,3,0
Acinetobacter,28242,Meat/Poultry,qacA,3,0
Acinetobacter,28242,Meat/Poultry,qacB,3,0
Acinetobacter,28242,Meat/Poultry,qacF,3,0
Acinetobacter,28242,Meat/Poultry,qacG,3,0
Acinetobacter,28242,Meat/Poultry,qacH,3,0
Acinetobacter,28242,Meat/Poultry,qacJ,3,0
Acinetobacter,28242,Meat/Poultry,qacK,3,0
Acinetobacter,28242,Meat/Poultry,qacL,3,0
Acinetobacter,28242,Meat/Poultry,qacM,3,0
Acinetobacter,28242,Meat/Poultry,sugE,3,0
Acinetobacter,28242,Meat/Poultry,bcrABC,3,0
Acinetobacter,28242,Meat/Poultry,crcB,3,0
Acinetobacter,28242,Meat/Poultry,srp,3,0
Acinetobacter,28242,Meat/Poultry,smd,3,0
Acinetobacter,28242,Meat/Poultry,sde,3,0
Acinetobacter,28242,Meat/Poultry,lmrS,3,0
Acinetobacter,28242,Meat/Poultry,smr,3,0
Acinetobacter,28242,Meat/Poultry,ssmE,3,0
Acinetobacter,28242,Meat/Poultry,tbtR,3,0
Acinetobacter,28242,Meat/Poultry,ttg,3,0
Acinetobacter,28242,Meat/Poultry,ttgR,3,0
Acinetobacter,28242,Meat/Poultry,ttgT,3,0
Acinetobacter,28242,Meat/Poultry,mtrF,3,0
Acinetobacter,28242,Meat/Poultry,emrE,3,0
Acinetobacter,28242,Cider,qac,,
Acinetobacter,28242,Cider,qacEdelta,,
Acinetobacter,28242,Cider,qacC,,
Acinetobacter,28242,Cider,qacE,,
Acinetobacter,28242,Cider,qacA,,
Acinetobacter,28242,Cider,qacB,,
Acinetobacter,28242,Cider,qacF,,
Acinetobacter,28242,Cider,qacG,,
Acinetobacter,28242,Cider,qacH,,
Acinetobacter,28242,Cider,qacJ,,
Acinetobacter,28242,Cider,qacK,,
Acinetobacter,28242,Cider,qacL,,
Acinetobacter,28242,Cider,qacM,,
Acinetobacter,28242,Cider,sugE,,
Acinetobacter,28242,Cider,bcrABC,,
Acinetobacter,28242,Cider,crcB,,
Acinetobacter,28242,Cider,srp,,
Acinetobacter,28242,Cider,smd,,
Acinetobacter,28242,Cider,sde,,
Acinetobacter,28242,Cider,lmrS,,
Acinetobacter,28242,Cider,smr,,
Acinetobacter,28242,Cider,ssmE,,
Acinetobacter,28242,Cider,tbtR,,
Acinetobacter,28242,Cider,ttg,,
Acinetobacter,28242,Cider,ttgR,,
Acinetobacter,28242,Cider,ttgT,,
Acinetobacter,28242,Cider,mtrF,,
Acinetobacter,28242,Cider,emrE,,
Acinetobacter,28242,Dairy,qac,,
Acinetobacter,28242,Dairy,qacEdelta,,
Acinetobacter,28242,Dairy,qacC,,
Acinetobacter,28242,Dairy,qacE,,
Acinetobacter,28242,Dairy,qacA,,
Acinetobacter,28242,Dairy,qacB,,
Acinetobacter,28242,Dairy,qacF,,
Acinetobacter,28242,Dairy,qacG,,
Acinetobacter,28242,Dairy,qacH,,
Acinetobacter,28242,Dairy,qacJ,,
Acinetobacter,28242,Dairy,qacK,,
Acinetobacter,28242,Dairy,qacL,,
Acinetobacter,28242,Dairy,qacM,,
Acinetobacter,28242,Dairy,sugE,,
Acinetobacter,28242,Dairy,bcrABC,,
Acinetobacter,28242,Dairy,crcB,,
Acinetobacter,28242,Dairy,srp,,
Acinetobacter,28242,Dairy,smd,,
Acinetobacter,28242,Dairy,sde,,
Acinetobacter,28242,Dairy,lmrS,,
Acinetobacter,28242,Dairy,smr,,
Acinetobacter,28242,Dairy,ssmE,,
Acinetobacter,28242,Dairy,tbtR,,
Acinetobacter,28242,Dairy,ttg,,
Acinetobacter,28242,Dairy,ttgR,,
Acinetobacter,28242,Dairy,ttgT,,
Acinetobacter,28242,Dairy,mtrF,,
Acinetobacter,28242,Dairy,emrE,,
Acinetobacter,28242,Flour,qac,,
Acinetobacter,28242,Flour,qacEdelta,,
Acinetobacter,28242,Flour,qacC,,
Acinetobacter,28242,Flour,qacE,,
Acinetobacter,28242,Flour,qacA,,
Acinetobacter,28242,Flour,qacB,,
Acinetobacter,28242,Flour,qacF,,
Acinetobacter,28242,Flour,qacG,,
Acinetobacter,28242,Flour,qacH,,
Acinetobacter,28242,Flour,qacJ,,
Acinetobacter,28242,Flour,qacK,,
Acinetobacter,28242,Flour,qacL,,
Acinetobacter,28242,Flour,qacM,,
Acinetobacter,28242,Flour,sugE,,
Acinetobacter,28242,Flour,bcrABC,,
Acinetobacter,28242,Flour,crcB,,
Acinetobacter,28242,Flour,srp,,
Acinetobacter,28242,Flour,smd,,
Acinetobacter,28242,Flour,sde,,
Acinetobacter,28242,Flour,lmrS,,
Acinetobacter,28242,Flour,smr,,
Acinetobacter,28242,Flour,ssmE,,
Acinetobacter,28242,Flour,tbtR,,
Acinetobacter,28242,Flour,ttg,,
Acinetobacter,28242,Flour,ttgR,,
Acinetobacter,28242,Flour,ttgT,,
Acinetobacter,28242,Flour,mtrF,,
Acinetobacter,28242,Flour,emrE,,
Acinetobacter,28242,Fruit/Vegetables,qac,4,1
Acinetobacter,28242,Fruit/Vegetables,qacEdelta,4,1
Acinetobacter,28242,Fruit/Vegetables,qacC,4,0
Acinetobacter,28242,Fruit/Vegetables,qacE,4,0
Acinetobacter,28242,Fruit/Vegetables,qacA,4,0
Acinetobacter,28242,Fruit/Vegetables,qacB,4,0
Acinetobacter,28242,Fruit/Vegetables,qacF,4,0
Acinetobacter,28242,Fruit/Vegetables,qacG,4,0
Acinetobacter,28242,Fruit/Vegetables,qacH,4,0
Acinetobacter,28242,Fruit/Vegetables,qacJ,4,0
Acinetobacter,28242,Fruit/Vegetables,qacK,4,0
Acinetobacter,28242,Fruit/Vegetables,qacL,4,0
Acinetobacter,28242,Fruit/Vegetables,qacM,4,0
Acinetobacter,28242,Fruit/Vegetables,sugE,4,0
Acinetobacter,28242,Fruit/Vegetables,bcrABC,4,0
Acinetobacter,28242,Fruit/Vegetables,crcB,4,0
Acinetobacter,28242,Fruit/Vegetables,srp,4,0
Acinetobacter,28242,Fruit/Vegetables,smd,4,0
Acinetobacter,28242,Fruit/Vegetables,sde,4,0
Acinetobacter,28242,Fruit/Vegetables,lmrS,4,0
Acinetobacter,28242,Fruit/Vegetables,smr,4,0
Acinetobacter,28242,Fruit/Vegetables,ssmE,4,0
Acinetobacter,28242,Fruit/Vegetables,tbtR,4,0
Acinetobacter,28242,Fruit/Vegetables,ttg,4,0
Acinetobacter,28242,Fruit/Vegetables,ttgR,4,0
Acinetobacter,28242,Fruit/Vegetables,ttgT,4,0
Acinetobacter,28242,Fruit/Vegetables,mtrF,4,0
Acinetobacter,28242,Fruit/Vegetables,emrE,4,0
Acinetobacter,28242,Spice/Herbs,qac,,
Acinetobacter,28242,Spice/Herbs,qacEdelta,,
Acinetobacter,28242,Spice/Herbs,qacC,,
Acinetobacter,28242,Spice/Herbs,qacE,,
Acinetobacter,28242,Spice/Herbs,qacA,,
Acinetobacter,28242,Spice/Herbs,qacB,,
Acinetobacter,28242,Spice/Herbs,qacF,,
Acinetobacter,28242,Spice/Herbs,qacG,,
Acinetobacter,28242,Spice/Herbs,qacH,,
Acinetobacter,28242,Spice/Herbs,qacJ,,
Acinetobacter,28242,Spice/Herbs,qacK,,
Acinetobacter,28242,Spice/Herbs,qacL,,
Acinetobacter,28242,Spice/Herbs,qacM,,
Acinetobacter,28242,Spice/Herbs,sugE,,
Acinetobacter,28242,Spice/Herbs,bcrABC,,
Acinetobacter,28242,Spice/Herbs,crcB,,
Acinetobacter,28242,Spice/Herbs,srp,,
Acinetobacter,28242,Spice/Herbs,smd,,
Acinetobacter,28242,Spice/Herbs,sde,,
Acinetobacter,28242,Spice/Herbs,lmrS,,
Acinetobacter,28242,Spice/Herbs,smr,,
Acinetobacter,28242,Spice/Herbs,ssmE,,
Acinetobacter,28242,Spice/Herbs,tbtR,,
Acinetobacter,28242,Spice/Herbs,ttg,,
Acinetobacter,28242,Spice/Herbs,ttgR,,
Acinetobacter,28242,Spice/Herbs,ttgT,,
Acinetobacter,28242,Spice/Herbs,mtrF,,
Acinetobacter,28242,Spice/Herbs,emrE,,
Acinetobacter,28242,Nuts/Seeds,qac,,
Acinetobacter,28242,Nuts/Seeds,qacEdelta,,
