Genus,Source,Cluster,total_source,number
Aeromonas,Fish/Seafood,vanB_cluster,32,0
Aeromonas,Fish/Seafood,vanRSPt_cluster,32,0
Aeromonas,Fish/Seafood,vanGZ_cluster,32,0
Aeromonas,Fish/Seafood,vanG_cluster,32,0
Aeromonas,Multi-product,vanA_YXcluster,9,0
Aeromonas,Multi-product,vanA_cluster,9,0
Aeromonas,Multi-product,vanB_YXcluster,9,0
Aeromonas,Multi-product,vanB_cluster,9,0
Aeromonas,Multi-product,vanRSPt_cluster,9,0
Aeromonas,Multi-product,vanGZ_cluster,9,0
Aeromonas,Multi-product,vanG_cluster,9,0
Aeromonas,Meat/Poultry,vanA_YXcluster,6,0
Aeromonas,Meat/Poultry,vanA_cluster,6,0
Aeromonas,Meat/Poultry,vanB_YXcluster,6,0
Aeromonas,Meat/Poultry,vanB_cluster,6,0
Aeromonas,Meat/Poultry,vanRSPt_cluster,6,0
Aeromonas,Meat/Poultry,vanGZ_cluster,6,0
Aeromonas,Meat/Poultry,vanG_cluster,6,0
Aeromonas,Dairy,vanA_YXcluster,1,0
Aeromonas,Dairy,vanA_cluster,1,0
Aeromonas,Dairy,vanB_YXcluster,1,0
Aeromonas,Dairy,vanB_cluster,1,0
Aeromonas,Dairy,vanRSPt_cluster,1,0
Aeromonas,Dairy,vanGZ_cluster,1,0
Aeromonas,Dairy,vanG_cluster,1,0
Aeromonas,Fruit/Vegetables,vanA_YXcluster,6,0
Aeromonas,Fruit/Vegetables,vanA_cluster,6,0
Aeromonas,Fruit/Vegetables,vanB_YXcluster,6,0
Aeromonas,Fruit/Vegetables,vanB_cluster,6,0
Aeromonas,Fruit/Vegetables,vanRSPt_cluster,6,0
Aeromonas,Fruit/Vegetables,vanGZ_cluster,6,0
Aeromonas,Fruit/Vegetables,vanG_cluster,6,0
Aeromonas,Clinical,vanA_YXcluster,306,0
Aeromonas,Clinical,vanA_cluster,306,0
Aeromonas,Clinical,vanB_YXcluster,306,0
Aeromonas,Clinical,vanB_cluster,306,0
Aeromonas,Clinical,vanRSPt_cluster,306,0
Aeromonas,Clinical,vanGZ_cluster,306,0
Aeromonas,Clinical,vanG_cluster,306,0
Bacillus,Animal feed,vanA_YXcluster,2,0
Bacillus,Animal feed,vanA_cluster,2,0
Bacillus,Animal feed,vanB_YXcluster,2,0
Bacillus,Animal feed,vanB_cluster,2,0
Bacillus,Animal feed,vanRSPt_cluster,2,0
Bacillus,Animal feed,vanGZ_cluster,2,0
Bacillus,Animal feed,vanG_cluster,2,0
Bacillus,Raw pet food,vanA_YXcluster,0,0
Bacillus,Raw pet food,vanA_cluster,0,0
Bacillus,Raw pet food,vanB_YXcluster,0,0
Bacillus,Raw pet food,vanB_cluster,0,0
Bacillus,Raw pet food,vanRSPt_cluster,0,0
Bacillus,Raw pet food,vanGZ_cluster,0,0
Bacillus,Raw pet food,vanG_cluster,0,0
Bacillus,Pet food,vanA_YXcluster,3,0
Bacillus,Pet food,vanA_cluster,3,0
Bacillus,Pet food,vanB_YXcluster,3,0
Bacillus,Pet food,vanB_cluster,3,0
Bacillus,Pet food,vanRSPt_cluster,3,0
Bacillus,Pet food,vanGZ_cluster,3,0
Bacillus,Pet food,vanG_cluster,3,0
Bacillus,Egg,vanA_YXcluster,2,0
Bacillus,Egg,vanA_cluster,2,0
Bacillus,Egg,vanB_YXcluster,2,0
Bacillus,Egg,vanB_cluster,2,0
Bacillus,Egg,vanRSPt_cluster,2,0
Bacillus,Egg,vanGZ_cluster,2,0
Bacillus,Egg,vanG_cluster,2,0
Bacillus,Fish/Seafood,vanA_YXcluster,25,0
Bacillus,Fish/Seafood,vanA_cluster,25,0
Bacillus,Fish/Seafood,vanB_YXcluster,25,0
Bacillus,Fish/Seafood,vanB_cluster,25,0
Bacillus,Fish/Seafood,vanRSPt_cluster,25,2
Bacillus,Fish/Seafood,vanGZ_cluster,25,0
Bacillus,Fish/Seafood,vanG_cluster,25,0
Bacillus,Multi-product,vanA_YXcluster,410,0
Bacillus,Multi-product,vanA_cluster,410,0
Bacillus,Multi-product,vanB_YXcluster,410,0
Bacillus,Multi-product,vanB_cluster,410,0
Bacillus,Multi-product,vanRSPt_cluster,410,26
Bacillus,Multi-product,vanGZ_cluster,410,0
Bacillus,Multi-product,vanG_cluster,410,0
Bacillus,Meat/Poultry,vanA_YXcluster,31,0
Bacillus,Meat/Poultry,vanA_cluster,31,0
Bacillus,Meat/Poultry,vanB_YXcluster,31,0
Bacillus,Meat/Poultry,vanB_cluster,31,0
Bacillus,Meat/Poultry,vanRSPt_cluster,31,4
Bacillus,Meat/Poultry,vanGZ_cluster,31,0
Bacillus,Meat/Poultry,vanG_cluster,31,0
