Genus,Source,Gene,number,total,Percent
Escherichia coli,Sewage,blaACT,0,331,0
Escherichia coli,Wastewater,blaACT,0,625,0
Escherichia coli,Water,blaACT,0,1464,0
Escherichia coli,Tea,blaACT,,,
Escherichia coli,Clinical,blaCARB,44,40966,0.107406142
Escherichia coli,Animal,blaCARB,34,9972,0.340954673
Escherichia coli,Animal environment,blaCARB,0,91,0
Escherichia coli,Animal feces,blaCARB,4,4932,0.081103001
Escherichia coli,Farm,blaCARB,4,1500,0.266666667
Escherichia coli,Egg,blaCARB,0,26,0
Escherichia coli,Farm sewage,blaCARB,1,6,16.66666667
Escherichia coli,Fish/Seafood,blaCARB,0,221,0
Escherichia coli,Food,blaCARB,0,765,0
Escherichia coli,Meat,blaCARB,25,9135,0.273672687
Escherichia coli,Reptile,blaCARB,0,13,0
Escherichia coli,Cider,blaCARB,0,14,0
Escherichia coli,Dairy,blaCARB,1,325,0.307692308
Escherichia coli,Slaughterhouse,blaCARB,0,247,0
Escherichia coli,Farm water,blaCARB,2,29,6.896551724
Escherichia coli,Flour,blaCARB,0,84,0
Escherichia coli,Fruit/vegetables,blaCARB,0,763,0
Escherichia coli,Seeds,blaCARB,0,5,0
Escherichia coli,Spice_Herbs,blaCARB,0,49,0
Escherichia coli,Insect,blaCARB,0,25,0
Escherichia coli,Nuts,blaCARB,0,29,0
Escherichia coli,Plant,blaCARB,0,16,0
Escherichia coli,Sewage,blaCARB,1,331,0.302114804
Escherichia coli,Wastewater,blaCARB,0,625,0
Escherichia coli,Water,blaCARB,2,1464,0.136612022
Escherichia coli,Tea,blaCARB,,,
Escherichia coli,Clinical,blaCMY,1569,40966,3.83000537
Escherichia coli,Animal,blaCMY,469,9972,4.703168873
Escherichia coli,Animal environment,blaCMY,7,91,7.692307692
Escherichia coli,Animal feces,blaCMY,266,4932,5.393349554
Escherichia coli,Farm,blaCMY,252,1500,16.8
Escherichia coli,Egg,blaCMY,3,26,11.53846154
