Genus,Source,Class,number,total,Percent
Escherichia coli,Slaughterhouse,thiostrepton,0,681,0
Escherichia coli,Farm water,thiostrepton,0,45,0
Escherichia coli,Flour,thiostrepton,0,84,0
Escherichia coli,Fruit/vegetables,thiostrepton,0,763,0
Escherichia coli,Seeds,thiostrepton,,,
Escherichia coli,Spice_Herbs,thiostrepton,0,88,0
Escherichia coli,Insect,thiostrepton,0,46,0
Escherichia coli,Nuts,thiostrepton,0,29,0
Escherichia coli,Plant,thiostrepton,0,16,0
Escherichia coli,Sewage,thiostrepton,0,660,0
Escherichia coli,Wastewater,thiostrepton,0,1230,0
Escherichia coli,Water,thiostrepton,0,1464,0
Escherichia coli,Tea,thiostrepton,,,
Escherichia coli,Clinical,trimethoprim,15103,40973,36.86085959
Escherichia coli,Animal,trimethoprim,3416,19822,17.23337706
Escherichia coli,Animal environment,trimethoprim,14,170,8.235294118
Escherichia coli,Animal feces,trimethoprim,1636,12396,13.19780574
Escherichia coli,Farm,trimethoprim,1356,6060,22.37623762
Escherichia coli,Egg,trimethoprim,2,28,7.142857143
Escherichia coli,Farm sewage,trimethoprim,,,
Escherichia coli,Fish/Seafood,trimethoprim,56,440,12.72727273
Escherichia coli,Food,trimethoprim,1463,5138,28.47411444
Escherichia coli,Meat,trimethoprim,5895,24090,24.47073474
Escherichia coli,Reptile,trimethoprim,0,10,0
Escherichia coli,Cider,trimethoprim,0,14,0
Escherichia coli,Dairy,trimethoprim,105,969,10.83591331
Escherichia coli,Slaughterhouse,trimethoprim,234,681,34.36123348
Escherichia coli,Farm water,trimethoprim,3,45,6.666666667
Escherichia coli,Flour,trimethoprim,0,84,0
Escherichia coli,Fruit/vegetables,trimethoprim,119,763,15.59633028
Escherichia coli,Seeds,trimethoprim,,,
Escherichia coli,Spice_Herbs,trimethoprim,4,88,4.545454545
Escherichia coli,Insect,trimethoprim,2,46,4.347826087
Escherichia coli,Nuts,trimethoprim,0,29,0
Escherichia coli,Plant,trimethoprim,0,16,0
Escherichia coli,Sewage,trimethoprim,414,660,62.72727273
Escherichia coli,Wastewater,trimethoprim,450,1230,36.58536585
Escherichia coli,Water,trimethoprim,271,1464,18.51092896
Escherichia coli,Tea,trimethoprim,,,
Escherichia coli,Clinical,tuberactinomycin,0,40973,0
Escherichia coli,Animal,tuberactinomycin,0,19822,0
Escherichia coli,Animal environment,tuberactinomycin,0,170,0
Escherichia coli,Animal feces,tuberactinomycin,0,12396,0
Escherichia coli,Farm,tuberactinomycin,0,6060,0
Escherichia coli,Egg,tuberactinomycin,0,28,0
Escherichia coli,Farm sewage,tuberactinomycin,,,
Escherichia coli,Fish/Seafood,tuberactinomycin,0,440,0
Escherichia coli,Food,tuberactinomycin,0,5138,0
Escherichia coli,Meat,tuberactinomycin,0,24090,0
Escherichia coli,Reptile,tuberactinomycin,0,10,0
Escherichia coli,Cider,tuberactinomycin,0,14,0
Escherichia coli,Dairy,tuberactinomycin,0,969,0
Escherichia coli,Slaughterhouse,tuberactinomycin,0,681,0
Escherichia coli,Farm water,tuberactinomycin,0,45,0
Escherichia coli,Flour,tuberactinomycin,0,84,0
Escherichia coli,Fruit/vegetables,tuberactinomycin,0,763,0
Escherichia coli,Seeds,tuberactinomycin,,,
Escherichia coli,Spice_Herbs,tuberactinomycin,0,88,0
Escherichia coli,Insect,tuberactinomycin,0,46,0
Escherichia coli,Nuts,tuberactinomycin,0,29,0
Escherichia coli,Plant,tuberactinomycin,0,16,0
Escherichia coli,Sewage,tuberactinomycin,0,660,0
Escherichia coli,Wastewater,tuberactinomycin,0,1230,0
Escherichia coli,Water,tuberactinomycin,0,1464,0
Escherichia coli,Tea,tuberactinomycin,,,
Escherichia coli,Clinical,biocide,32985,40973,80.5042345
Escherichia coli,Animal,biocide,13470,19822,67.9547977
Escherichia coli,Animal environment,biocide,78,170,45.88235294
