Genus,Source,Class,number,total,Percent
Shigella,Flour,mupirocin,,,
Shigella,Fruit/vegetables,mupirocin,0,1,0
Shigella,Seeds,mupirocin,,,
Shigella,Spice_Herbs,mupirocin,,,
Shigella,Insect,mupirocin,,,
Shigella,Nuts,mupirocin,,,
Shigella,Plant,mupirocin,,,
Shigella,Sewage,mupirocin,0,2,0
Shigella,Wastewater,mupirocin,,,
Shigella,Water,mupirocin,0,2,0
Shigella,Tea,mupirocin,,,
Shigella,Clinical,nitroimidazole,0,11270,0
Shigella,Animal,nitroimidazole,0,24,0
Shigella,Animal environment,nitroimidazole,,,
Shigella,Animal feces,nitroimidazole,,,
Shigella,Farm,nitroimidazole,,,
Shigella,Egg,nitroimidazole,,,
Shigella,Farm sewage,nitroimidazole,,,
Shigella,Fish/Seafood,nitroimidazole,0,2,0
Shigella,Food,nitroimidazole,0,35,0
Shigella,Meat,nitroimidazole,0,12,0
Shigella,Reptile,nitroimidazole,,,
Shigella,Cider,nitroimidazole,,,
Shigella,Dairy,nitroimidazole,,,
Shigella,Slaughterhouse,nitroimidazole,,,
Shigella,Farm water,nitroimidazole,,,
Shigella,Flour,nitroimidazole,,,
Shigella,Fruit/vegetables,nitroimidazole,0,1,0
Shigella,Seeds,nitroimidazole,,,
Shigella,Spice_Herbs,nitroimidazole,,,
Shigella,Insect,nitroimidazole,,,
Shigella,Nuts,nitroimidazole,,,
Shigella,Plant,nitroimidazole,,,
Shigella,Sewage,nitroimidazole,0,2,0
Shigella,Wastewater,nitroimidazole,,,
Shigella,Water,nitroimidazole,0,2,0
Shigella,Tea,nitroimidazole,,,
Shigella,Clinical,phenicol,3551,11270,31.50842946
Shigella,Animal,phenicol,2,24,8.333333333
Shigella,Animal environment,phenicol,,,
Shigella,Animal feces,phenicol,,,
Shigella,Farm,phenicol,,,
Shigella,Egg,phenicol,,,
Shigella,Farm sewage,phenicol,,,
Shigella,Fish/Seafood,phenicol,0,2,0
Shigella,Food,phenicol,35,35,100
Shigella,Meat,phenicol,0,12,0
Shigella,Reptile,phenicol,,,
Shigella,Cider,phenicol,,,
Shigella,Dairy,phenicol,,,
Shigella,Slaughterhouse,phenicol,,,
Shigella,Farm water,phenicol,,,
Shigella,Flour,phenicol,,,
Shigella,Fruit/vegetables,phenicol,0,1,0
Shigella,Seeds,phenicol,,,
Shigella,Spice_Herbs,phenicol,,,
Shigella,Insect,phenicol,,,
Shigella,Nuts,phenicol,,,
Shigella,Plant,phenicol,,,
Shigella,Sewage,phenicol,2,2,100
Shigella,Wastewater,phenicol,,,
Shigella,Water,phenicol,0,2,0
Shigella,Tea,phenicol,,,
Shigella,Clinical,pluromutilin,0,11270,0
Shigella,Animal,pluromutilin,0,24,0
Shigella,Animal environment,pluromutilin,,,
Shigella,Animal feces,pluromutilin,,,
Shigella,Farm,pluromutilin,,,
Shigella,Egg,pluromutilin,,,
Shigella,Farm sewage,pluromutilin,,,
Shigella,Fish/Seafood,pluromutilin,0,2,0
Shigella,Food,pluromutilin,0,35,0
Shigella,Meat,pluromutilin,0,12,0
Shigella,Reptile,pluromutilin,,,
Shigella,Cider,pluromutilin,,,
Shigella,Dairy,pluromutilin,,,
Shigella,Slaughterhouse,pluromutilin,,,
Shigella,Farm water,pluromutilin,,,
Shigella,Flour,pluromutilin,,,
Shigella,Fruit/vegetables,pluromutilin,0,1,0
Shigella,Seeds,pluromutilin,,,
Shigella,Spice_Herbs,pluromutilin,,,
Shigella,Insect,pluromutilin,,,
Shigella,Nuts,pluromutilin,,,
Shigella,Plant,pluromutilin,,,
Shigella,Sewage,pluromutilin,0,2,0
Shigella,Wastewater,pluromutilin,,,
Shigella,Water,pluromutilin,0,2,0
Shigella,Tea,pluromutilin,,,
Shigella,Clinical,polymyxin,35,11270,0.310559006
Shigella,Animal,polymyxin,0,24,0
Shigella,Animal environment,polymyxin,,,
Shigella,Animal feces,polymyxin,,,
Shigella,Farm,polymyxin,,,
Shigella,Egg,polymyxin,,,
Shigella,Farm sewage,polymyxin,,,
Shigella,Fish/Seafood,polymyxin,0,2,0
Shigella,Food,polymyxin,7,35,20
Shigella,Meat,polymyxin,0,12,0
Shigella,Reptile,polymyxin,,,
Shigella,Cider,polymyxin,,,
Shigella,Dairy,polymyxin,,,
Shigella,Slaughterhouse,polymyxin,,,
Shigella,Farm water,polymyxin,,,
Shigella,Flour,polymyxin,,,
Shigella,Fruit/vegetables,polymyxin,0,1,0
Shigella,Seeds,polymyxin,,,
Shigella,Spice_Herbs,polymyxin,,,
Shigella,Insect,polymyxin,,,
Shigella,Nuts,polymyxin,,,
Shigella,Plant,polymyxin,,,
Shigella,Sewage,polymyxin,0,2,0
Shigella,Wastewater,polymyxin,,,
Shigella,Water,polymyxin,1,2,50
Shigella,Tea,polymyxin,,,
Shigella,Clinical,quinolone,4961,11270,44.01952085
Shigella,Animal,quinolone,0,24,0
Shigella,Animal environment,quinolone,,,
Shigella,Animal feces,quinolone,,,
Shigella,Farm,quinolone,,,
Shigella,Egg,quinolone,,,
Shigella,Farm sewage,quinolone,,,
Shigella,Fish/Seafood,quinolone,0,2,0
Shigella,Food,quinolone,35,35,100
Shigella,Meat,quinolone,3,12,25
Shigella,Reptile,quinolone,,,
Shigella,Cider,quinolone,,,
Shigella,Dairy,quinolone,,,
Shigella,Slaughterhouse,quinolone,,,
Shigella,Farm water,quinolone,,,
Shigella,Flour,quinolone,,,
Shigella,Fruit/vegetables,quinolone,0,1,0
Shigella,Seeds,quinolone,,,
Shigella,Spice_Herbs,quinolone,,,
Shigella,Insect,quinolone,,,
Shigella,Nuts,quinolone,,,
Shigella,Plant,quinolone,,,
Shigella,Sewage,quinolone,2,2,100
Shigella,Wastewater,quinolone,,,
Shigella,Water,quinolone,1,2,50
Shigella,Tea,quinolone,,,
Shigella,Clinical,rifamycin,6,11270,0.053238687
Shigella,Animal,rifamycin,0,24,0
Shigella,Animal environment,rifamycin,,,
Shigella,Animal feces,rifamycin,,,
Shigella,Farm,rifamycin,,,
Shigella,Egg,rifamycin,,,
Shigella,Farm sewage,rifamycin,,,
Shigella,Fish/Seafood,rifamycin,0,2,0
Shigella,Food,rifamycin,0,35,0
Shigella,Meat,rifamycin,0,12,0
Shigella,Reptile,rifamycin,,,
Shigella,Cider,rifamycin,,,
Shigella,Dairy,rifamycin,,,
Shigella,Slaughterhouse,rifamycin,,,
Shigella,Farm water,rifamycin,,,
Shigella,Flour,rifamycin,,,
Shigella,Fruit/vegetables,rifamycin,0,1,0
Shigella,Seeds,rifamycin,,,
Shigella,Spice_Herbs,rifamycin,,,
Shigella,Insect,rifamycin,,,
Shigella,Nuts,rifamycin,,,
Shigella,Plant,rifamycin,,,
Shigella,Sewage,rifamycin,0,2,0
Shigella,Wastewater,rifamycin,,,
Shigella,Water,rifamycin,0,2,0
Shigella,Tea,rifamycin,,,
Shigella,Clinical,streptogramin,0,11270,0
Shigella,Animal,streptogramin,0,24,0
Shigella,Animal environment,streptogramin,,,
Shigella,Animal feces,streptogramin,,,
Shigella,Farm,streptogramin,,,
Shigella,Egg,streptogramin,,,
Shigella,Farm sewage,streptogramin,,,
Shigella,Fish/Seafood,streptogramin,0,2,0
Shigella,Food,streptogramin,0,35,0
Shigella,Meat,streptogramin,0,12,0
Shigella,Reptile,streptogramin,,,
Shigella,Cider,streptogramin,,,
Shigella,Dairy,streptogramin,,,
Shigella,Slaughterhouse,streptogramin,,,
Shigella,Farm water,streptogramin,,,
Shigella,Flour,streptogramin,,,
Shigella,Fruit/vegetables,streptogramin,0,1,0
Shigella,Seeds,streptogramin,,,
Shigella,Spice_Herbs,streptogramin,,,
Shigella,Insect,streptogramin,,,
Shigella,Nuts,streptogramin,,,
Shigella,Plant,streptogramin,,,
Shigella,Sewage,streptogramin,0,2,0
Shigella,Wastewater,streptogramin,,,
Shigella,Water,streptogramin,0,2,0
Shigella,Tea,streptogramin,,,
Shigella,Clinical,streptothricin,1,11270,0.008873114
Shigella,Animal,streptothricin,0,24,0
Shigella,Animal environment,streptothricin,,,
Shigella,Animal feces,streptothricin,,,
Shigella,Farm,streptothricin,,,
Shigella,Egg,streptothricin,,,
Shigella,Farm sewage,streptothricin,,,
Shigella,Fish/Seafood,streptothricin,0,2,0
Shigella,Food,streptothricin,0,35,0
Shigella,Meat,streptothricin,0,12,0
Shigella,Reptile,streptothricin,,,
Shigella,Cider,streptothricin,,,
Shigella,Dairy,streptothricin,,,
Shigella,Slaughterhouse,streptothricin,,,
Shigella,Farm water,streptothricin,,,
Shigella,Flour,streptothricin,,,
Shigella,Fruit/vegetables,streptothricin,0,1,0
Shigella,Seeds,streptothricin,,,
Shigella,Spice_Herbs,streptothricin,,,
Shigella,Insect,streptothricin,,,
Shigella,Nuts,streptothricin,,,
Shigella,Plant,streptothricin,,,
Shigella,Sewage,streptothricin,0,2,0
Shigella,Wastewater,streptothricin,,,
Shigella,Water,streptothricin,0,2,0
Shigella,Tea,streptothricin,,,
Shigella,Clinical,sulphonamide,7868,11270,69.8136646
Shigella,Animal,sulphonamide,14,24,58.33333333
Shigella,Animal environment,sulphonamide,,,
Shigella,Animal feces,sulphonamide,,,
Shigella,Farm,sulphonamide,,,
Shigella,Egg,sulphonamide,,,
Shigella,Farm sewage,sulphonamide,,,
Shigella,Fish/Seafood,sulphonamide,0,2,0
Shigella,Food,sulphonamide,28,35,80
Shigella,Meat,sulphonamide,3,12,25
Shigella,Reptile,sulphonamide,,,
Shigella,Cider,sulphonamide,,,
Shigella,Dairy,sulphonamide,,,
Shigella,Slaughterhouse,sulphonamide,,,
Shigella,Farm water,sulphonamide,,,
Shigella,Flour,sulphonamide,,,
Shigella,Fruit/vegetables,sulphonamide,1,1,100
Shigella,Seeds,sulphonamide,,,
Shigella,Spice_Herbs,sulphonamide,,,
Shigella,Insect,sulphonamide,,,
Shigella,Nuts,sulphonamide,,,
Shigella,Plant,sulphonamide,,,
Shigella,Sewage,sulphonamide,2,2,100
Shigella,Wastewater,sulphonamide,,,
Shigella,Water,sulphonamide,1,2,50
Shigella,Tea,sulphonamide,,,
Shigella,Clinical,tetracenomycin,0,11270,0
Shigella,Animal,tetracenomycin,0,24,0
Shigella,Animal environment,tetracenomycin,,,
Shigella,Animal feces,tetracenomycin,,,
Shigella,Farm,tetracenomycin,,,
Shigella,Egg,tetracenomycin,,,
Shigella,Farm sewage,tetracenomycin,,,
Shigella,Fish/Seafood,tetracenomycin,0,2,0
Shigella,Food,tetracenomycin,0,35,0
Shigella,Meat,tetracenomycin,0,12,0
Shigella,Reptile,tetracenomycin,,,
Shigella,Cider,tetracenomycin,,,
Shigella,Dairy,tetracenomycin,,,
Shigella,Slaughterhouse,tetracenomycin,,,
Shigella,Farm water,tetracenomycin,,,
Shigella,Flour,tetracenomycin,,,
Shigella,Fruit/vegetables,tetracenomycin,0,1,0
Shigella,Seeds,tetracenomycin,,,
Shigella,Spice_Herbs,tetracenomycin,,,
Shigella,Insect,tetracenomycin,,,
Shigella,Nuts,tetracenomycin,,,
Shigella,Plant,tetracenomycin,,,
Shigella,Sewage,tetracenomycin,0,2,0
Shigella,Wastewater,tetracenomycin,,,
Shigella,Water,tetracenomycin,0,2,0
Shigella,Tea,tetracenomycin,,,
Shigella,Clinical,tetracycline,8669,11270,76.92102928
Shigella,Animal,tetracycline,18,24,75
Shigella,Animal environment,tetracycline,,,
Shigella,Animal feces,tetracycline,,,
Shigella,Farm,tetracycline,,,
Shigella,Egg,tetracycline,,,
Shigella,Farm sewage,tetracycline,,,
Shigella,Fish/Seafood,tetracycline,0,2,0
Shigella,Food,tetracycline,35,35,100
Shigella,Meat,tetracycline,6,12,50
Shigella,Reptile,tetracycline,,,
Shigella,Cider,tetracycline,,,
Shigella,Dairy,tetracycline,,,
Shigella,Slaughterhouse,tetracycline,,,
Shigella,Farm water,tetracycline,,,
Shigella,Flour,tetracycline,,,
Shigella,Fruit/vegetables,tetracycline,0,1,0
Shigella,Seeds,tetracycline,,,
Shigella,Spice_Herbs,tetracycline,,,
Shigella,Insect,tetracycline,,,
Shigella,Nuts,tetracycline,,,
Shigella,Plant,tetracycline,,,
Shigella,Sewage,tetracycline,2,2,100
Shigella,Wastewater,tetracycline,,,
Shigella,Water,tetracycline,1,2,50
Shigella,Tea,tetracycline,,,
Shigella,Clinical,thiostrepton,0,11270,0
Shigella,Animal,thiostrepton,0,24,0
Shigella,Animal environment,thiostrepton,,,
Shigella,Animal feces,thiostrepton,,,
Shigella,Farm,thiostrepton,,,
Shigella,Egg,thiostrepton,,,
Shigella,Farm sewage,thiostrepton,,,
Shigella,Fish/Seafood,thiostrepton,0,2,0
Shigella,Food,thiostrepton,0,35,0
Shigella,Meat,thiostrepton,0,12,0
Shigella,Reptile,thiostrepton,,,
Shigella,Cider,thiostrepton,,,
Shigella,Dairy,thiostrepton,,,
Shigella,Slaughterhouse,thiostrepton,,,
Shigella,Farm water,thiostrepton,,,
Shigella,Flour,thiostrepton,,,
Shigella,Fruit/vegetables,thiostrepton,0,1,0
Shigella,Seeds,thiostrepton,,,
Shigella,Spice_Herbs,thiostrepton,,,
Shigella,Insect,thiostrepton,,,
Shigella,Nuts,thiostrepton,,,
Shigella,Plant,thiostrepton,,,
Shigella,Sewage,thiostrepton,0,2,0
Shigella,Wastewater,thiostrepton,,,
Shigella,Water,thiostrepton,0,2,0
Shigella,Tea,thiostrepton,,,
Shigella,Clinical,trimethoprim,9667,11270,85.77639752
Shigella,Animal,trimethoprim,0,24,0
Shigella,Animal environment,trimethoprim,,,
Shigella,Animal feces,trimethoprim,,,
Shigella,Farm,trimethoprim,,,
Shigella,Egg,trimethoprim,,,
Shigella,Farm sewage,trimethoprim,,,
Shigella,Fish/Seafood,trimethoprim,0,2,0
Shigella,Food,trimethoprim,14,35,40
Shigella,Meat,trimethoprim,6,12,50
Shigella,Reptile,trimethoprim,,,
Shigella,Cider,trimethoprim,,,
Shigella,Dairy,trimethoprim,,,
Shigella,Slaughterhouse,trimethoprim,,,
Shigella,Farm water,trimethoprim,,,
Shigella,Flour,trimethoprim,,,
Shigella,Fruit/vegetables,trimethoprim,1,1,100
Shigella,Seeds,trimethoprim,,,
Shigella,Spice_Herbs,trimethoprim,,,
Shigella,Insect,trimethoprim,,,
Shigella,Nuts,trimethoprim,,,
Shigella,Plant,trimethoprim,,,
Shigella,Sewage,trimethoprim,2,2,100
Shigella,Wastewater,trimethoprim,,,
Shigella,Water,trimethoprim,1,2,50
Shigella,Tea,trimethoprim,,,
Shigella,Clinical,tuberactinomycin,0,11270,0
Shigella,Animal,tuberactinomycin,0,24,0
Shigella,Animal environment,tuberactinomycin,,,
Shigella,Animal feces,tuberactinomycin,,,
Shigella,Farm,tuberactinomycin,,,
Shigella,Egg,tuberactinomycin,,,
Shigella,Farm sewage,tuberactinomycin,,,
Shigella,Fish/Seafood,tuberactinomycin,0,2,0
Shigella,Food,tuberactinomycin,0,35,0
Shigella,Meat,tuberactinomycin,0,12,0
Shigella,Reptile,tuberactinomycin,,,
Shigella,Cider,tuberactinomycin,,,
Shigella,Dairy,tuberactinomycin,,,
Shigella,Slaughterhouse,tuberactinomycin,,,
Shigella,Farm water,tuberactinomycin,,,
Shigella,Flour,tuberactinomycin,,,
Shigella,Fruit/vegetables,tuberactinomycin,0,1,0
Shigella,Seeds,tuberactinomycin,,,
Shigella,Spice_Herbs,tuberactinomycin,,,
Shigella,Insect,tuberactinomycin,,,
Shigella,Nuts,tuberactinomycin,,,
Shigella,Plant,tuberactinomycin,,,
Shigella,Sewage,tuberactinomycin,0,2,0
Shigella,Wastewater,tuberactinomycin,,,
Shigella,Water,tuberactinomycin,0,2,0
Shigella,Tea,tuberactinomycin,,,
Shigella,Clinical,biocide,10579,11270,93.86867791
Shigella,Animal,biocide,22,24,91.66666667
Shigella,Animal environment,biocide,,,
Shigella,Animal feces,biocide,,,
Shigella,Farm,biocide,,,
Shigella,Egg,biocide,,,
Shigella,Farm sewage,biocide,,,
Shigella,Fish/Seafood,biocide,2,2,100
Shigella,Food,biocide,28,35,80
Shigella,Meat,biocide,12,12,100
Shigella,Reptile,biocide,,,
Shigella,Cider,biocide,,,
Shigella,Dairy,biocide,,,
Shigella,Slaughterhouse,biocide,,,
Shigella,Farm water,biocide,,,
Shigella,Flour,biocide,,,
Shigella,Fruit/vegetables,biocide,1,1,100
Shigella,Seeds,biocide,,,
Shigella,Spice_Herbs,biocide,,,
Shigella,Insect,biocide,,,
Shigella,Nuts,biocide,,,
Shigella,Plant,biocide,,,
Shigella,Sewage,biocide,2,2,100
Shigella,Wastewater,biocide,,,
Shigella,Water,biocide,2,2,100
Shigella,Tea,biocide,,,
Shigella,Clinical,Metal,1923,11270,17.06299911
Shigella,Animal,Metal,6,24,25
Shigella,Animal environment,Metal,,,
Shigella,Animal feces,Metal,,,
Shigella,Farm,Metal,,,
Shigella,Egg,Metal,,,
Shigella,Farm sewage,Metal,,,
Shigella,Fish/Seafood,Metal,2,2,100
Shigella,Food,Metal,35,35,100
Shigella,Meat,Metal,9,12,75
Shigella,Reptile,Metal,,,
Shigella,Cider,Metal,,,
Shigella,Dairy,Metal,,,
Shigella,Slaughterhouse,Metal,,,
Shigella,Farm water,Metal,,,
Shigella,Flour,Metal,,,
Shigella,Fruit/vegetables,Metal,1,1,100
Shigella,Seeds,Metal,,,
Shigella,Spice_Herbs,Metal,,,
Shigella,Insect,Metal,,,
Shigella,Nuts,Metal,,,
Shigella,Plant,Metal,,,
Shigella,Sewage,Metal,2,2,100
Shigella,Wastewater,Metal,,,
Shigella,Water,Metal,1,2,50
Shigella,Tea,Metal,,,
Acinetobacter,Clinical,aminoglycoside,7826,8157,95.94213559
Acinetobacter,Animal,aminoglycoside,70,78,89.74358974
Acinetobacter,Animal environment,aminoglycoside,,,
Acinetobacter,Animal feces,aminoglycoside,,,
Acinetobacter,Farm,aminoglycoside,,,
Acinetobacter,Egg,aminoglycoside,2,2,100
Acinetobacter,Farm sewage,aminoglycoside,,,
Acinetobacter,Fish/Seafood,aminoglycoside,0,2,0
Acinetobacter,Food,aminoglycoside,,,
Acinetobacter,Meat,aminoglycoside,3222,3339,96.49595687
Acinetobacter,Reptile,aminoglycoside,,,
Acinetobacter,Cider,aminoglycoside,,,
Acinetobacter,Dairy,aminoglycoside,,,
Acinetobacter,Slaughterhouse,aminoglycoside,,,
Acinetobacter,Farm water,aminoglycoside,,,
Acinetobacter,Flour,aminoglycoside,,,
Acinetobacter,Fruit/vegetables,aminoglycoside,2,3,66.66666667
Acinetobacter,Seeds,aminoglycoside,,,
Acinetobacter,Spice_Herbs,aminoglycoside,,,
Acinetobacter,Insect,aminoglycoside,,,
Acinetobacter,Nuts,aminoglycoside,,,
Acinetobacter,Plant,aminoglycoside,3,5,60
Acinetobacter,Sewage,aminoglycoside,,,
Acinetobacter,Wastewater,aminoglycoside,2,2,100
Acinetobacter,Water,aminoglycoside,8,18,44.44444444
Acinetobacter,Tea,aminoglycoside,,,
Acinetobacter,Clinical,betalactam,8131,8157,99.68125536
Acinetobacter,Animal,betalactam,78,78,100
Acinetobacter,Animal environment,betalactam,,,
Acinetobacter,Animal feces,betalactam,,,
Acinetobacter,Farm,betalactam,,,
Acinetobacter,Egg,betalactam,2,2,100
Acinetobacter,Farm sewage,betalactam,,,
Acinetobacter,Fish/Seafood,betalactam,2,2,100
Acinetobacter,Food,betalactam,,,
Acinetobacter,Meat,betalactam,3333,3339,99.82030548
Acinetobacter,Reptile,betalactam,,,
Acinetobacter,Cider,betalactam,,,
Acinetobacter,Dairy,betalactam,,,
Acinetobacter,Slaughterhouse,betalactam,,,
Acinetobacter,Farm water,betalactam,,,
Acinetobacter,Flour,betalactam,,,
Acinetobacter,Fruit/vegetables,betalactam,3,3,100
Acinetobacter,Seeds,betalactam,,,
Acinetobacter,Spice_Herbs,betalactam,,,
Acinetobacter,Insect,betalactam,,,
Acinetobacter,Nuts,betalactam,,,
Acinetobacter,Plant,betalactam,5,5,100
Acinetobacter,Sewage,betalactam,,,
Acinetobacter,Wastewater,betalactam,2,2,100
Acinetobacter,Water,betalactam,18,18,100
Acinetobacter,Tea,betalactam,,,
Acinetobacter,Clinical,bleomycin,1,8157,0.012259409
Acinetobacter,Animal,bleomycin,0,78,0
Acinetobacter,Animal environment,bleomycin,,,
Acinetobacter,Animal feces,bleomycin,,,
Acinetobacter,Farm,bleomycin,,,
Acinetobacter,Egg,bleomycin,0,2,0
Acinetobacter,Farm sewage,bleomycin,,,
Acinetobacter,Fish/Seafood,bleomycin,0,2,0
Acinetobacter,Food,bleomycin,,,
Acinetobacter,Meat,bleomycin,0,3339,0
Acinetobacter,Reptile,bleomycin,,,
Acinetobacter,Cider,bleomycin,,,
Acinetobacter,Dairy,bleomycin,,,
Acinetobacter,Slaughterhouse,bleomycin,,,
Acinetobacter,Farm water,bleomycin,,,
Acinetobacter,Flour,bleomycin,,,
Acinetobacter,Fruit/vegetables,bleomycin,0,3,0
Acinetobacter,Seeds,bleomycin,,,
Acinetobacter,Spice_Herbs,bleomycin,,,
Acinetobacter,Insect,bleomycin,,,
Acinetobacter,Nuts,bleomycin,,,
Acinetobacter,Plant,bleomycin,0,5,0
Acinetobacter,Sewage,bleomycin,,,
Acinetobacter,Wastewater,bleomycin,0,2,0
Acinetobacter,Water,bleomycin,0,18,0
Acinetobacter,Tea,bleomycin,,,
Acinetobacter,Clinical,fosfomycin,7304,8157,89.54272404
Acinetobacter,Animal,fosfomycin,60,78,76.92307692
Acinetobacter,Animal environment,fosfomycin,,,
Acinetobacter,Animal feces,fosfomycin,,,
Acinetobacter,Farm,fosfomycin,,,
Acinetobacter,Egg,fosfomycin,2,2,100
Acinetobacter,Farm sewage,fosfomycin,,,
Acinetobacter,Fish/Seafood,fosfomycin,0,2,0
Acinetobacter,Food,fosfomycin,,,
Acinetobacter,Meat,fosfomycin,3012,3339,90.2066487
Acinetobacter,Reptile,fosfomycin,,,
Acinetobacter,Cider,fosfomycin,,,
Acinetobacter,Dairy,fosfomycin,,,
Acinetobacter,Slaughterhouse,fosfomycin,,,
Acinetobacter,Farm water,fosfomycin,,,
Acinetobacter,Flour,fosfomycin,,,
Acinetobacter,Fruit/vegetables,fosfomycin,2,3,66.66666667
Acinetobacter,Seeds,fosfomycin,,,
Acinetobacter,Spice_Herbs,fosfomycin,,,
Acinetobacter,Insect,fosfomycin,,,
Acinetobacter,Nuts,fosfomycin,,,
Acinetobacter,Plant,fosfomycin,2,5,40
Acinetobacter,Sewage,fosfomycin,,,
Acinetobacter,Wastewater,fosfomycin,0,2,0
Acinetobacter,Water,fosfomycin,12,18,66.66666667
Acinetobacter,Tea,fosfomycin,,,
Acinetobacter,Clinical,fusidic acid,0,8157,0
Acinetobacter,Animal,fusidic acid,0,78,0
Acinetobacter,Animal environment,fusidic acid,,,
Acinetobacter,Animal feces,fusidic acid,,,
Acinetobacter,Farm,fusidic acid,,,
Acinetobacter,Egg,fusidic acid,0,2,0
Acinetobacter,Farm sewage,fusidic acid,,,
Acinetobacter,Fish/Seafood,fusidic acid,0,2,0
Acinetobacter,Food,fusidic acid,,,
Acinetobacter,Meat,fusidic acid,0,3339,0
Acinetobacter,Reptile,fusidic acid,,,
Acinetobacter,Cider,fusidic acid,,,
Acinetobacter,Dairy,fusidic acid,,,
Acinetobacter,Slaughterhouse,fusidic acid,,,
Acinetobacter,Farm water,fusidic acid,,,
Acinetobacter,Flour,fusidic acid,,,
Acinetobacter,Fruit/vegetables,fusidic acid,0,3,0
Acinetobacter,Seeds,fusidic acid,,,
Acinetobacter,Spice_Herbs,fusidic acid,,,
Acinetobacter,Insect,fusidic acid,,,
Acinetobacter,Nuts,fusidic acid,,,
Acinetobacter,Plant,fusidic acid,0,5,0
Acinetobacter,Sewage,fusidic acid,,,
Acinetobacter,Wastewater,fusidic acid,0,2,0
Acinetobacter,Water,fusidic acid,0,18,0
Acinetobacter,Tea,fusidic acid,,,
Acinetobacter,Clinical,glycopeptide,1,8157,0.012259409
Acinetobacter,Animal,glycopeptide,0,78,0
Acinetobacter,Animal environment,glycopeptide,,,
Acinetobacter,Animal feces,glycopeptide,,,
Acinetobacter,Farm,glycopeptide,,,
Acinetobacter,Egg,glycopeptide,0,2,0
Acinetobacter,Farm sewage,glycopeptide,,,
Acinetobacter,Fish/Seafood,glycopeptide,0,2,0
Acinetobacter,Food,glycopeptide,,,
Acinetobacter,Meat,glycopeptide,3,3339,0.08984726
Acinetobacter,Reptile,glycopeptide,,,
Acinetobacter,Cider,glycopeptide,,,
Acinetobacter,Dairy,glycopeptide,,,
Acinetobacter,Slaughterhouse,glycopeptide,,,
Acinetobacter,Farm water,glycopeptide,,,
Acinetobacter,Flour,glycopeptide,,,
Acinetobacter,Fruit/vegetables,glycopeptide,0,3,0
Acinetobacter,Seeds,glycopeptide,,,
Acinetobacter,Spice_Herbs,glycopeptide,,,
Acinetobacter,Insect,glycopeptide,,,
Acinetobacter,Nuts,glycopeptide,,,
Acinetobacter,Plant,glycopeptide,0,5,0
Acinetobacter,Sewage,glycopeptide,,,
Acinetobacter,Wastewater,glycopeptide,0,2,0
Acinetobacter,Water,glycopeptide,0,18,0
Acinetobacter,Tea,glycopeptide,,,
Acinetobacter,Clinical,MLS,0,8157,0
Acinetobacter,Animal,MLS,0,78,0
Acinetobacter,Animal environment,MLS,,,
Acinetobacter,Animal feces,MLS,,,
Acinetobacter,Farm,MLS,,,
Acinetobacter,Egg,MLS,0,2,0
Acinetobacter,Farm sewage,MLS,,,
Acinetobacter,Fish/Seafood,MLS,0,2,0
Acinetobacter,Food,MLS,,,
Acinetobacter,Meat,MLS,0,3339,0
Acinetobacter,Reptile,MLS,,,
Acinetobacter,Cider,MLS,,,
Acinetobacter,Dairy,MLS,,,
Acinetobacter,Slaughterhouse,MLS,,,
Acinetobacter,Farm water,MLS,,,
Acinetobacter,Flour,MLS,,,
Acinetobacter,Fruit/vegetables,MLS,0,3,0
Acinetobacter,Seeds,MLS,,,
Acinetobacter,Spice_Herbs,MLS,,,
Acinetobacter,Insect,MLS,,,
Acinetobacter,Nuts,MLS,,,
Acinetobacter,Plant,MLS,0,5,0
Acinetobacter,Sewage,MLS,,,
Acinetobacter,Wastewater,MLS,0,2,0
Acinetobacter,Water,MLS,0,18,0
Acinetobacter,Tea,MLS,,,
Acinetobacter,Clinical,macrolide,3989,8157,48.90278289
Acinetobacter,Animal,macrolide,20,78,25.64102564
Acinetobacter,Animal environment,macrolide,,,
Acinetobacter,Animal feces,macrolide,,,
Acinetobacter,Farm,macrolide,,,
Acinetobacter,Egg,macrolide,0,2,0
Acinetobacter,Farm sewage,macrolide,,,
Acinetobacter,Fish/Seafood,macrolide,0,2,0
Acinetobacter,Food,macrolide,,,
Acinetobacter,Meat,macrolide,1809,3339,54.17789757
Acinetobacter,Reptile,macrolide,,,
Acinetobacter,Cider,macrolide,,,
Acinetobacter,Dairy,macrolide,,,
Acinetobacter,Slaughterhouse,macrolide,,,
Acinetobacter,Farm water,macrolide,,,
Acinetobacter,Flour,macrolide,,,
Acinetobacter,Fruit/vegetables,macrolide,0,3,0
Acinetobacter,Seeds,macrolide,,,
Acinetobacter,Spice_Herbs,macrolide,,,
Acinetobacter,Insect,macrolide,,,
Acinetobacter,Nuts,macrolide,,,
Acinetobacter,Plant,macrolide,0,5,0
Acinetobacter,Sewage,macrolide,,,
Acinetobacter,Wastewater,macrolide,2,2,100
Acinetobacter,Water,macrolide,0,18,0
Acinetobacter,Tea,macrolide,,,
Acinetobacter,Clinical,"lincosamide,",0,8157,0
Acinetobacter,Animal,"lincosamide,",0,78,0
Acinetobacter,Animal environment,"lincosamide,",,,
Acinetobacter,Animal feces,"lincosamide,",,,
Acinetobacter,Farm,"lincosamide,",,,
