Species,Genus,total_genus,Source,Gene,number,total
Aeromonas salmonicida,Aeromonas,330,Multi-product,aac(3),6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,aac(6')-Ib-cr,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,aadA,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,aph(3'')-Ib,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,aph(3'),6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,aph(6)-Id,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaACT,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaCARB,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaCMY,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaCMY-2,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaCTX-M,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaGES,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaIMP,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaKPC,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaNDM,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaOXA,6,6
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaPER,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaSHV,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaTEM,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,blaVIM,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,catA,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,cmlA,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,dfrA,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,mec,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,mcr-,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,mcr-1,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,mcr-9,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,qnrS,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,sul,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,tet,6,1
Aeromonas salmonicida,Aeromonas,330,Multi-product,van,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,gyrA,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,parC,6,0
Aeromonas salmonicida,Aeromonas,330,Multi-product,parE,6,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,aac(3),4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,aac(6')-Ib-cr,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,aadA,4,2
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,aph(3'')-Ib,4,0
