Genus,Source,Gene,number,total
Aeromonas salmonicida,330,Dairy,qacG,0,0
Aeromonas salmonicida,330,Dairy,qacH,0,0
Aeromonas salmonicida,330,Dairy,qacJ,0,0
Aeromonas salmonicida,330,Dairy,qacK,0,0
Aeromonas salmonicida,330,Dairy,qacL,0,0
Aeromonas salmonicida,330,Dairy,qacM,0,0
Aeromonas salmonicida,330,Dairy,sugE,0,0
Aeromonas salmonicida,330,Dairy,bcrABC,0,0
Aeromonas salmonicida,330,Dairy,crcB,0,0
Aeromonas salmonicida,330,Dairy,srp,0,0
Aeromonas salmonicida,330,Dairy,smd,0,0
Aeromonas salmonicida,330,Dairy,sde,0,0
Aeromonas salmonicida,330,Dairy,lmrS,0,0
Aeromonas salmonicida,330,Dairy,smr,0,0
Aeromonas salmonicida,330,Dairy,ssmE,0,0
Aeromonas salmonicida,330,Dairy,tbtR,0,0
Aeromonas salmonicida,330,Dairy,ttg,0,0
Aeromonas salmonicida,330,Dairy,ttgR,0,0
Aeromonas salmonicida,330,Dairy,ttgT,0,0
Aeromonas salmonicida,330,Dairy,mtrF,0,0
Aeromonas salmonicida,330,Dairy,emrE,0,0
Aeromonas salmonicida,330,Food processing environment,qac,0,0
Aeromonas salmonicida,330,Food processing environment,qacEdelta,0,0
Aeromonas salmonicida,330,Food processing environment,qacC,0,0
Aeromonas salmonicida,330,Food processing environment,qacE,0,0
Aeromonas salmonicida,330,Food processing environment,qacA,0,0
Aeromonas salmonicida,330,Food processing environment,qacB,0,0
Aeromonas salmonicida,330,Food processing environment,qacF,0,0
Aeromonas salmonicida,330,Food processing environment,qacG,0,0
Aeromonas salmonicida,330,Food processing environment,qacH,0,0
Aeromonas salmonicida,330,Food processing environment,qacJ,0,0
Aeromonas salmonicida,330,Food processing environment,qacK,0,0
Aeromonas salmonicida,330,Food processing environment,qacL,0,0
Aeromonas salmonicida,330,Food processing environment,qacM,0,0
Aeromonas salmonicida,330,Food processing environment,sugE,0,0
Aeromonas salmonicida,330,Food processing environment,bcrABC,0,0
Aeromonas salmonicida,330,Food processing environment,crcB,0,0
Aeromonas salmonicida,330,Food processing environment,srp,0,0
Aeromonas salmonicida,330,Food processing environment,smd,0,0
Aeromonas salmonicida,330,Food processing environment,sde,0,0
Aeromonas salmonicida,330,Food processing environment,lmrS,0,0
Aeromonas salmonicida,330,Food processing environment,smr,0,0
Aeromonas salmonicida,330,Food processing environment,ssmE,0,0
Aeromonas salmonicida,330,Food processing environment,tbtR,0,0
Aeromonas salmonicida,330,Food processing environment,ttg,0,0
Aeromonas salmonicida,330,Food processing environment,ttgR,0,0
Aeromonas salmonicida,330,Food processing environment,ttgT,0,0
Aeromonas salmonicida,330,Food processing environment,mtrF,0,0
Aeromonas salmonicida,330,Food processing environment,emrE,0,0
Aeromonas salmonicida,330,Farm water,qac,0,0
Aeromonas salmonicida,330,Farm water,qacEdelta,0,0
Aeromonas salmonicida,330,Farm water,qacC,0,0
Aeromonas salmonicida,330,Farm water,qacE,0,0
Aeromonas salmonicida,330,Farm water,qacA,0,0
Aeromonas salmonicida,330,Farm water,qacB,0,0
Aeromonas salmonicida,330,Farm water,qacF,0,0
Aeromonas salmonicida,330,Farm water,qacG,0,0
Aeromonas salmonicida,330,Farm water,qacH,0,0
Aeromonas salmonicida,330,Farm water,qacJ,0,0
Aeromonas salmonicida,330,Farm water,qacK,0,0
Aeromonas salmonicida,330,Farm water,qacL,0,0
Aeromonas salmonicida,330,Farm water,qacM,0,0
Aeromonas salmonicida,330,Farm water,sugE,0,0
Aeromonas salmonicida,330,Farm water,bcrABC,0,0
Aeromonas salmonicida,330,Farm water,crcB,0,0
Aeromonas salmonicida,330,Farm water,srp,0,0
Aeromonas salmonicida,330,Farm water,smd,0,0
Aeromonas salmonicida,330,Farm water,sde,0,0
Aeromonas salmonicida,330,Farm water,lmrS,0,0
Aeromonas salmonicida,330,Farm water,smr,0,0
Aeromonas salmonicida,330,Farm water,ssmE,0,0
Aeromonas salmonicida,330,Farm water,tbtR,0,0
Aeromonas salmonicida,330,Farm water,ttg,0,0
Aeromonas salmonicida,330,Farm water,ttgR,0,0
Aeromonas salmonicida,330,Farm water,ttgT,0,0
Aeromonas salmonicida,330,Farm water,mtrF,0,0
Aeromonas salmonicida,330,Farm water,emrE,0,0
Aeromonas salmonicida,330,Flour,qac,0,0
Aeromonas salmonicida,330,Flour,qacEdelta,0,0
Aeromonas salmonicida,330,Flour,qacC,0,0
Aeromonas salmonicida,330,Flour,qacE,0,0
Aeromonas salmonicida,330,Flour,qacA,0,0
Aeromonas salmonicida,330,Flour,qacB,0,0
Aeromonas salmonicida,330,Flour,qacF,0,0
Aeromonas salmonicida,330,Flour,qacG,0,0
Aeromonas salmonicida,330,Flour,qacH,0,0
Aeromonas salmonicida,330,Flour,qacJ,0,0
Aeromonas salmonicida,330,Flour,qacK,0,0
Aeromonas salmonicida,330,Flour,qacL,0,0
Aeromonas salmonicida,330,Flour,qacM,0,0
Aeromonas salmonicida,330,Flour,sugE,0,0
Aeromonas salmonicida,330,Flour,bcrABC,0,0
Aeromonas salmonicida,330,Flour,crcB,0,0
Aeromonas salmonicida,330,Flour,srp,0,0
Aeromonas salmonicida,330,Flour,smd,0,0
Aeromonas salmonicida,330,Flour,sde,0,0
Aeromonas salmonicida,330,Flour,lmrS,0,0
