Species,Genus,Total_genus,Source,Class,total_from_source,number_res
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,betalactam,4,4
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,bleomycin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,fosfomycin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,fusidic acid,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,glycopeptide,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,MLS,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,macrolide,4,2
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,lincosamide,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,lincosamide_streptogramin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,mupirocin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,nitroimidazole,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,phenicol,4,2
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,phenicol_oxazolidinone,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,phenicol_quinolone,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,pluromutilin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,polymyxin,4,2
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,quinolone,4,2
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,rifamycin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,streptogramin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,streptothricin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,sulphonamide,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,tetracenomycin,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,tetracycline,4,2
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,thiostrepton,4,0
Aeromonas salmonicida,Aeromonas,330,Meat/Poultry,trimethoprim,4,2
